nameOfPlace,Poverty Rate
Sunny Slopes CDP,0.0
Swall Meadows CDP,0.5
Topaz CDP,0.0
Twin Lakes CDP (Mono County),0.0
Virginia Lakes CDP,-
Walker CDP,21.0
Monterey County,12.3
Aromas CDP (Combined Total-Monterey/San Benito Counties),3.1
Boronda CDP,10.4
Bradley CDP,0.0
Carmel-by-the-Sea city,0.7
Carmel Valley Village CDP,6.3
Castroville CDP,17.0
Chualar CDP,22.5
Del Monte Forest CDP,3.8
Del Rey Oaks city,5.6
Elkhorn CDP,1.9
Fort Hunter Liggett CDP,-
Gonzales city,8.6
Greenfield city,12.2
King City city,19.2
Las Lomas CDP,17.1
Lockwood CDP (Monterey County),14.0
Marina city,11.0
Monterey city,10.7
Moss Landing CDP,55.6
Pacific Grove city,7.1
Pajaro CDP,18.3
Pine Canyon CDP,5.6
Prunedale CDP,8.8
Salinas city,14.2
San Ardo CDP,20.0
Sand City city,6.0
San Lucas CDP,20.2
Seaside city,13.0
Soledad city,17.2
Spreckels CDP,0.0
Napa County,7.9
American Canyon city,7.4
Angwin CDP,10.9
Calistoga city,5.4
Deer Park CDP,6.2
Moskowite Corner CDP,9.6
Napa city,8.1
Oakville CDP,-
Rutherford CDP,0.0
St. Helena city,5.7
Silverado Resort CDP,6.4
Yountville city,10.6
Nevada County,10.4
Alta Sierra CDP (Nevada County),7.4
Floriston CDP,0.0
Graniteville CDP,100.0
Grass Valley city,18.2
Kingvale CDP (Combined Total-Nevada/Placer Counties),0.0
Lake of the Pines CDP,6.8
Lake Wildwood CDP,12.3
Nevada City city,10.0
North San Juan CDP,65.1
Penn Valley CDP,1.3
Rough and Ready CDP,9.6
Soda Springs CDP,0.0
Truckee town,9.0
Washington CDP,19.7
Orange County,9.7
Aliso Viejo city,4.9
Anaheim city,12.6
Brea city,6.7
Buena Park city,8.8
Costa Mesa city,9.5
Coto de Caza CDP,3.3
Cypress city,7.3
Dana Point city,6.2
Fountain Valley city,7.0
Fullerton city,12.3
Garden Grove city,12.6
Huntington Beach city,7.3
Irvine city,12.5
Ladera Ranch CDP,2.8
Laguna Beach city,5.5
Laguna Hills city,8.3
Laguna Niguel city,7.4
Laguna Woods city,10.7
La Habra city,9.8
Lake Forest city,7.3
La Palma city,6.2
Las Flores CDP (Orange County),9.7
Los Alamitos city,8.8
Midway City CDP,18.0
Mission Viejo city,4.9
Modjeska CDP,3.1
Newport Beach city,7.9
North Tustin CDP,4.4
Orange city,9.2
Placentia city,8.2
Rancho Mission Viejo CDP,2.4
Rancho Santa Margarita city,3.9
Rossmoor CDP,3.3
San Clemente city,5.6
San Juan Capistrano city,9.1
Santa Ana city,11.5
Seal Beach city,6.2
Silverado CDP,17.4
Stanton city,12.9
Trabuco Canyon CDP,13.0
Tustin city,10.1
Villa Park city,7.2
Westminster city,15.7
Williams Canyon CDP,0.0
Yorba Linda city,6.0
Placer County,6.8
Alta CDP,5.4
Auburn city,14.5
Carnelian Bay CDP,0.0
Cedar Flat CDP,3.9
Colfax city,11.6
Dollar Point CDP,1.5
Dutch Flat CDP,9.6
Foresthill CDP,20.5
Granite Bay CDP,5.0
Kings Beach CDP,18.2
Kingvale CDP (Combined Total-Nevada/Placer Counties),0.0
Lincoln city,8.0
Loomis town,9.0
Meadow Vista CDP,2.3
Newcastle CDP,9.6
North Auburn CDP,12.1
Penryn CDP,3.0
Rocklin city,4.3
Roseville city,6.3
Sheridan CDP,1.4
Sunnyside-Tahoe City CDP,2.0
Tahoe Vista CDP,8.1
Tahoma CDP (Combined Total - El Dorado/Placer counties),12.3
Plumas County,10.9
Almanor CDP,-
Beckwourth CDP,6.6
Belden CDP,-
Blairsden CDP,-
Bucks Lake CDP,0.0
Canyondam CDP,0.0
Caribou CDP,-
Chester CDP,9.0
Chilcoot-Vinton CDP,10.7
Clio CDP,49.7
Crescent Mills CDP,39.4
C-Road CDP,0.0
Cromberg CDP,0.0
Delleker CDP,6.3
East Quincy CDP,14.4
East Shore CDP,9.1
Gold Mountain CDP,0.0
Graeagle CDP,16.5
Greenhorn CDP,17.2
Greenville CDP,12.8
Hamilton Branch CDP,12.6
Indian Falls CDP,-
Iron Horse CDP,0.0
Johnsville CDP,-
Keddie CDP,0.0
Lake Almanor Country Club CDP,23.4
Lake Almanor Peninsula CDP,3.4
Lake Almanor West CDP,0.0
Lake Davis CDP,0.0
La Porte CDP,0.0
Little Grass Valley CDP,-
Mabie CDP,0.0
Meadow Valley CDP,4.8
Mohawk Vista CDP,28.6
Paxton CDP,-
Plumas Eureka CDP,7.7
Portola city,21.1
Prattville CDP,0.0
Quincy CDP,11.3
Spring Garden CDP,-
Taylorsville CDP,0.0
Tobin CDP,-
Twain CDP,51.1
Valley Ranch CDP,0.0
Warner Valley CDP,-
Whitehawk CDP,0.0
Riverside County,11.4
Aguanga CDP,33.5
Anza CDP,8.3
Banning city,18.9
Beaumont city,7.9
Bermuda Dunes CDP,6.3
Blythe city,22.8
Cabazon CDP,15.4
Calimesa city,7.6
Canyon Lake city,9.0
Cathedral City city,17.3
Cherry Valley CDP,9.9
Coachella city,11.2
Corona city,8.5
Coronita CDP,3.3
Desert Center CDP,25.1
Desert Edge CDP,19.5
Desert Hot Springs city,21.0
Desert Palms CDP,9.6
East Hemet CDP,18.8
Eastvale city,4.3
El Cerrito CDP,9.0
El Sobrante CDP (Riverside County),3.4
French Valley CDP,5.8
Garnet CDP,14.7
Good Hope CDP,20.2
Green Acres CDP,9.9
Hemet city,17.4
Highgrove CDP,6.5
Home Gardens CDP,11.5
Homeland CDP,8.9
Idyllwild-Pine Cove CDP,11.3
Indian Wells city,4.7
Indio city,13.2
Indio Hills CDP,3.2
Jurupa Valley city,10.3
Lake Elsinore city,10.3
Lakeland Village CDP,8.0
Lake Mathews CDP,10.1
Lake Riverside CDP,2.8
Lakeview CDP,17.6
La Quinta city,9.5
March ARB CDP,29.6
Meadowbrook CDP,14.7
Mead Valley CDP,12.9
Mecca CDP,15.3
Menifee city,9.0
Mesa Verde CDP,17.2
Moreno Valley city,12.9
Mountain Center CDP,0.0
Murrieta city,6.6
Norco city,5.5
North Shore CDP,13.1
Nuevo CDP,11.4
Oasis CDP,43.0
Palm Desert city,12.9
Palm Springs city,13.9
Perris city,12.7
Rancho Mirage city,11.0
Ripley CDP,48.6
Riverside city,12.8
Romoland CDP,19.1
Sage CDP,10.8
San Jacinto city,17.1
Sky Valley CDP,13.1
Temecula city,7.8
Temescal Valley CDP,6.5
Thermal CDP,23.1
Thousand Palms CDP,13.1
Valle Vista CDP,17.6
Vista Santa Rosa CDP,6.2
Warm Springs CDP,31.1
Whitewater CDP,22.5
Wildomar city,10.0
Winchester CDP,10.4
Woodcrest CDP,4.9
Sacramento County,13.1
Antelope CDP,10.4
Arden-Arcade CDP,19.3
Carmichael CDP,12.0
Citrus Heights city,10.1
Clay CDP,5.5
Courtland CDP,6.0
Elk Grove city,8.8
Elverta CDP,9.9
Fair Oaks CDP,8.2
Florin CDP,18.4
Folsom city,5.3
Foothill Farms CDP,17.0
Franklin CDP (Sacramento County),28.0
Freeport CDP,-
Fruitridge Pocket CDP,33.1
Galt city,7.2
Gold River CDP,2.6
Herald CDP,13.5
Hood CDP,15.0
Isleton city,32.3
La Riviera CDP,12.3
Lemon Hill CDP,29.3
McClellan Park CDP,45.7
Mather CDP,5.1
North Highlands CDP,20.5
Orangevale CDP,9.3
Parkway CDP,20.9
Rancho Cordova city,11.6
Rancho Murieta CDP,4.2
Rio Linda CDP,13.3
Rosemont CDP,12.4
Sacramento city,14.8
Vineyard CDP,12.1
Walnut Grove CDP,17.9
Wilton CDP,4.7
San Benito County,7.5
Aromas CDP (Combined Total-Monterey/San Benito Counties),3.1
Hollister city,9.4
Ridgemark CDP,4.0
San Juan Bautista city,6.9
Tres Pinos CDP,2.7
San Bernardino County,13.8
Adelanto city,17.9
Apple Valley town,17.0
Baker CDP,30.8
Barstow city,22.5
Big Bear City CDP,16.9
Big Bear Lake city,13.9
Big River CDP,17.1
Bloomington CDP,15.7
Bluewater CDP,4.8
Chino city,8.2
Chino Hills city,7.2
Colton city,15.4
Crestline CDP,11.6
Fontana city,10.5
Fort Irwin CDP,11.6
Grand Terrace city,7.4
Hesperia city,18.1
Highland city,15.9
Homestead Valley CDP,23.6
Joshua Tree CDP,22.3
Lake Arrowhead CDP,12.9
Lenwood CDP,20.0
Loma Linda city,12.8
Lucerne Valley CDP,32.4
Lytle Creek CDP,18.2
Mentone CDP,12.7
Montclair city,14.9
Morongo Valley CDP,25.8
Mountain View Acres CDP,28.7
Muscoy CDP,18.3
Needles city,29.3
Oak Glen CDP,18.8
Oak Hills CDP,6.1
Ontario city,12.9
Phelan CDP,16.7
Piñon Hills CDP,13.8
